Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,movie_title,movie_id,language,poster,popularity,vote_average
10/30/21,Train to Busan,2016,https://boxd.it/2fjpxN,4,,,10/30/21,Train to Busan,396535,ko,https://image.tmdb.org/t/p/original'/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87.514,7.753
10/31/21,Downsizing,2017,https://boxd.it/2fks8t,2,,,10/30/21,Downsizing,301337,en,https://image.tmdb.org/t/p/original'/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,279.498,5.35
10/31/21,Downsizing,2017,https://boxd.it/2fks8t,2,,,10/30/21,Downsizing,301337,en,https://image.tmdb.org/t/p/original'/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,279.498,5.35
10/31/21,Corpse Bride,2005,https://boxd.it/2fv4bv,3,,,10/31/21,Corpse Bride,3933,en,https://image.tmdb.org/t/p/original'/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,77.935,7.553
11/1/21,Miss Congeniality,2000,https://boxd.it/2fGY8T,,,,11/1/21,Miss Congeniality,1493,en,https://image.tmdb.org/t/p/original'/q1m9ME0zvncnFDmKXC43RqZr8mU.jpg,27.053,6.523
11/14/21,The Cabin in the Woods,2011,https://boxd.it/2hL9dV,4.5,Yes,,11/14/21,The Cabin in the Woods,22970,en,https://image.tmdb.org/t/p/original/kjDXrK3ReIwuDrpWElI5OQkKYTA.jpg,41.952,6.619
11/15/21,Nightcrawler,2014,https://boxd.it/2hM8xR,5,,,11/14/21,Nightcrawler,242582,en,https://image.tmdb.org/t/p/original'/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,60.717,7.707
11/15/21,Ciao Alberto,2021,https://boxd.it/2hXdnp,4.5,,,11/15/21,Ciao Alberto,876716,en,https://image.tmdb.org/t/p/original'/9RKPB9IKDHaTxWQgjkS4IJao08a.jpg,29.361,7.4
11/15/21,The Simpsons in Plusaversary,2021,https://boxd.it/2hXemd,0.5,,,11/15/21,The Simpsons in Plusaversary,877183,en,https://image.tmdb.org/t/p/original'/p5jzbffrXuBTjsiwrQ3aOMTrvCj.jpg,29.092,6.533
11/16/21,The Irishman,2019,https://boxd.it/2i6e1n,4,,,11/16/21,The Irishman,398978,en,https://image.tmdb.org/t/p/original'/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,243.601,7.6
11/19/21,Dune,2021,https://boxd.it/2iw7wP,3.5,,,11/19/21,Dune,438631,en,https://image.tmdb.org/t/p/original'/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,486.363,7.781
11/19/21,Dune,2021,https://boxd.it/2iw7wP,3.5,,,11/19/21,Dune,438631,en,https://image.tmdb.org/t/p/original'/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,486.363,7.781
11/22/21,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2iR9X1,3.5,,,11/21/21,Shang-Chi and the Legend of the Ten Rings,566525,en,https://image.tmdb.org/t/p/original'/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,89.281,7.557
11/25/21,Venom: Let There Be Carnage,2021,https://boxd.it/2jinDj,3,,,11/24/21,Venom: Let There Be Carnage,580489,en,https://image.tmdb.org/t/p/original'/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg,104.095,6.799
12/6/21,The Shawshank Redemption,1994,https://boxd.it/2l4KTp,5,Yes,,12/6/21,The Shawshank Redemption,278,en,https://image.tmdb.org/t/p/original'/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,140.63,8.7
12/14/21,Eternals,2021,https://boxd.it/2mhenV,2.5,,,12/14/21,Eternals,524434,en,https://image.tmdb.org/t/p/original'/lFByFSLV5WDJEv3KabbdAF959F2.jpg,61.493,6.88
12/26/21,Spider-Man,2002,https://boxd.it/2oBpxb,,Yes,,12/24/21,Spider-Man,557,en,https://image.tmdb.org/t/p/original'/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,113.501,7.296
12/26/21,Spider-Man 2,2004,https://boxd.it/2oBpP5,,Yes,,12/25/21,Spider-Man 2,558,en,https://image.tmdb.org/t/p/original'/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,40.44,7.273
12/26/21,Spider-Man 3,2007,https://boxd.it/2oBqlb,,Yes,,12/26/21,Spider-Man 3,559,en,https://image.tmdb.org/t/p/original'/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,95.353,6.418
1/3/22,Chef,2014,https://boxd.it/2qTuMf,3.5,,,1/3/22,Chef,212778,en,https://image.tmdb.org/t/p/original'/yMtKHR6VG1Yagvv5F7IFpsGBm66.jpg,29.238,7.112
1/4/22,Howl's Moving Castle,2004,https://boxd.it/2rb5jj,3,,,1/4/22,Howl's Moving Castle,4935,ja,https://image.tmdb.org/t/p/original'/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,108.841,8.409
1/7/22,Inglourious Basterds,2009,https://boxd.it/2rHls1,4.5,Yes,,1/6/22,Inglourious Basterds,16869,en,https://image.tmdb.org/t/p/original'/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,125.085,8.218
1/9/22,1917,2019,https://boxd.it/2soGCR,4,,,1/9/22,1917,530915,en,https://image.tmdb.org/t/p/original'/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,47.986,7.993
1/14/22,Romy and Michele's High School Reunion,1997,https://boxd.it/2tGHNV,5,,,1/14/22,Romy and Michele's High School Reunion,9611,en,https://image.tmdb.org/t/p/original'/etg1pHDwJfWbr5XeOkVxErjBRld.jpg,21.115,6.206
1/14/22,Team Thor,2016,https://boxd.it/2tGPPF,,,,1/14/22,Team Thor,413279,en,https://image.tmdb.org/t/p/original'/jVSmX89BvsQV2z3wh2IVYVNVw1a.jpg,11.067,7.289
1/15/22,The Revenant,2015,https://boxd.it/2tVGYj,3.5,,,1/15/22,The Revenant,281957,en,https://image.tmdb.org/t/p/original'/tSaBkriE7TpbjFoQUFXuikoz0dF.jpg,49.08,7.532
1/18/22,Enemy,2013,https://boxd.it/2uLf35,3.5,,,1/18/22,Enemy,181886,en,https://image.tmdb.org/t/p/original/coJzyPTkSp4RMRGdgE7pXmJbCiG.jpg,47.54,6.874
1/20/22,Trixie Mattel: Moving Parts,2019,https://boxd.it/2uYUoz,4,Yes,,1/19/22,Trixie Mattel: Moving Parts,589367,en,https://image.tmdb.org/t/p/original'/dRP8bHtrV2lTITjSpFKptuqR2Gq.jpg,6.369,6.777
