entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
49,Train to Busan,2016,https://boxd.it/2fjpxN,4,,2021-10-30,396535,ko,https://image.tmdb.org/t/p/original'/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87.514,7.753,2016-07-20,87547518,118,Life-or-death survival begins.,Horror,Thriller,Action,Adventure,,KR,,,,Yeon Sang-ho,,
50,Downsizing,2017,https://boxd.it/2fks8t,2,,2021-10-30,301337,en,https://image.tmdb.org/t/p/original'/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,279.498,5.35,2017-12-22,55003890,135,We are meant for something bigger.,Drama,Science Fiction,,,,US,,,,Alexander Payne,,
51,Corpse Bride,2005,https://boxd.it/2fv4bv,3,,2021-10-31,3933,en,https://image.tmdb.org/t/p/original'/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,77.935,7.553,2005-09-12,118133252,77,There's been a grave misunderstanding.,Romance,Fantasy,Animation,,,US,,,,Mike Johnson,Tim Burton,
52,Miss Congeniality,2000,https://boxd.it/2fGY8T,,,2021-11-01,1493,en,https://image.tmdb.org/t/p/original'/q1m9ME0zvncnFDmKXC43RqZr8mU.jpg,27.053,6.523,2000-12-22,212000000,111,Unpolished. Unkempt. Unleashed. Undercover.,Comedy,Crime,Action,,,US,,,,Donald Petrie,,
53,The Cabin in the Woods,2011,https://boxd.it/2hL9dV,4.5,Yes,2021-11-14,22970,en,https://image.tmdb.org/t/p/original/kjDXrK3ReIwuDrpWElI5OQkKYTA.jpg,41.952,6.619,2012-04-12,71000000,95,You think you know the story.,Horror,Mystery,Thriller,,,US,,,,Drew Goddard,,
54,Nightcrawler,2014,https://boxd.it/2hM8xR,5,,2021-11-14,242582,en,https://image.tmdb.org/t/p/original'/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,60.717,7.707,2014-10-23,50300000,118,The city shines brightest at night,Crime,Drama,Thriller,,,US,,,,Dan Gilroy,,
55,The Simpsons in Plusaversary,2021,https://boxd.it/2hXemd,0.5,,2021-11-15,877183,en,https://image.tmdb.org/t/p/original'/p5jzbffrXuBTjsiwrQ3aOMTrvCj.jpg,29.092,6.533,2021-11-12,0,4,,Animation,Comedy,Fantasy,,,US,,,,David Silverman,,
56,Ciao Alberto,2021,https://boxd.it/2hXdnp,4.5,,2021-11-15,876716,en,https://image.tmdb.org/t/p/original'/9RKPB9IKDHaTxWQgjkS4IJao08a.jpg,29.361,7.4,2021-11-11,0,7,They go together like pasta and pesto.,Animation,Comedy,Family,Fantasy,,US,,,,McKenna Jean Harris,,
57,The Irishman,2019,https://boxd.it/2i6e1n,4,,2021-11-16,398978,en,https://image.tmdb.org/t/p/original'/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,243.601,7.6,2019-11-01,968853,209,His story changed history,Crime,Drama,History,,,US,,,,Martin Scorsese,,
58,Dune,2021,https://boxd.it/2iw7wP,3.5,,2021-11-19,438631,en,https://image.tmdb.org/t/p/original'/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,486.363,7.781,2021-09-15,407573628,155,It begins.,Science Fiction,Adventure,,,,US,,,,Denis Villeneuve,,
59,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2iR9X1,3.5,,2021-11-21,566525,en,https://image.tmdb.org/t/p/original'/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,89.281,7.557,2021-09-01,432243292,132,You can't outrun your destiny.,Action,Adventure,Fantasy,,,US,,,,Destin Daniel Cretton,,
60,Venom: Let There Be Carnage,2021,https://boxd.it/2jinDj,3,,2021-11-24,580489,en,https://image.tmdb.org/t/p/original'/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg,104.095,6.799,2021-09-30,506900000,97,,Science Fiction,Action,Adventure,,,US,,,,Andy Serkis,,
61,The Shawshank Redemption,1994,https://boxd.it/2l4KTp,5,Yes,2021-12-06,278,en,https://image.tmdb.org/t/p/original'/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,140.63,8.7,1994-09-23,28341469,142,Fear can hold you prisoner. Hope can set you free.,Drama,Crime,,,,US,,,,Frank Darabont,,
62,Eternals,2021,https://boxd.it/2mhenV,2.5,,2021-12-14,524434,en,https://image.tmdb.org/t/p/original'/lFByFSLV5WDJEv3KabbdAF959F2.jpg,61.493,6.88,2021-11-03,402064899,156,In the beginning...,Science Fiction,Action,Adventure,,,US,,,,Chloé Zhao,,
63,Spider-Man,2002,https://boxd.it/2oBpxb,,Yes,2021-12-24,557,en,https://image.tmdb.org/t/p/original'/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,113.501,7.296,2002-05-01,821708551,121,Go for the ultimate spin.,Action,Science Fiction,,,,US,,,,Sam Raimi,,
64,Spider-Man 2,2004,https://boxd.it/2oBpP5,,Yes,2021-12-25,558,en,https://image.tmdb.org/t/p/original'/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,40.44,7.273,2004-06-25,788976453,127,There's a hero in all of us.,Action,Adventure,Science Fiction,,,US,,,,Sam Raimi,,
65,Spider-Man 3,2007,https://boxd.it/2oBqlb,,Yes,2021-12-26,559,en,https://image.tmdb.org/t/p/original'/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,95.353,6.418,2007-05-01,894983373,139,The greatest battle lies within.,Action,Adventure,Science Fiction,,,US,,,,Sam Raimi,,
