Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
9/10/23,Zoolander,2001,https://boxd.it/4PgaNZ,3,,,1/26/23
9/10/23,Burn After Reading,2008,https://boxd.it/4PgaO9,4,,,1/27/23
9/10/23,The Devil Wears Prada,2006,https://boxd.it/4PgaOj,4,Yes,,1/28/23
9/10/23,The Intouchables,2011,https://boxd.it/4PgaOt,4.5,,,1/28/23
9/10/23,Groundhog Day,1993,https://boxd.it/4PgaOD,3,Yes,,1/29/23
9/10/23,Julie & Julia,2009,https://boxd.it/4PgaON,3,Yes,,1/29/23
9/10/23,The Dictator,2012,https://boxd.it/4PgaOX,3.5,Yes,,1/30/23
9/10/23,All Quiet on the Western Front,2022,https://boxd.it/4PgaP7,3,,,1/30/23
9/10/23,Monty Python and the Holy Grail,1975,https://boxd.it/4PgaPh,3.5,,,1/31/23
9/10/23,"Girl, Interrupted",1999,https://boxd.it/4PgaPr,2.5,,,1/31/23
9/10/23,Life of Brian,1979,https://boxd.it/4PgaPB,3.5,,,2/2/23
9/10/23,Don't Look Up,2021,https://boxd.it/4PgaPL,4,Yes,,2/3/23
9/10/23,This Is the End,2013,https://boxd.it/4PgaPV,3.5,,,2/3/23
9/10/23,Black Panther: Wakanda Forever,2022,https://boxd.it/4PgaQ5,4.5,,,2/5/23
9/10/23,Love Actually,2003,https://boxd.it/4PgaQf,3.5,Yes,,2/5/23
9/10/23,Marry Me,2022,https://boxd.it/4PgaQp,1.5,,,2/6/23
9/10/23,Mickey Blue Eyes,1999,https://boxd.it/4PgaQJ,2,,,2/6/23
9/10/23,Death Takes a Holiday,1934,https://boxd.it/4PgaS1,3.5,,,2/6/23
9/10/23,Ocean's Eight,2018,https://boxd.it/4PgaSb,2,,,2/7/23
9/10/23,TÁR,2022,https://boxd.it/4PgaSl,4,,,2/7/23
9/10/23,The Meyerowitz Stories,2017,https://boxd.it/4PgaSv,3.5,,,2/8/23
9/10/23,October Sky,1999,https://boxd.it/4PgaSF,4.5,,,2/9/23
9/10/23,"tick, tick...BOOM!",2021,https://boxd.it/4PgaSP,5,,,2/9/23
9/10/23,Your Name Engraved Herein,2020,https://boxd.it/4PgaSZ,3.5,,,2/10/23
9/10/23,National Treasure,2004,https://boxd.it/4PgaT9,2,Yes,,2/13/23
9/10/23,Burning,2018,https://boxd.it/4PgaTj,4,,,2/14/23
9/10/23,Black Widow,2021,https://boxd.it/4PgaTt,3.5,,,2/19/23
9/10/23,The Proposal,2009,https://boxd.it/4PgaTD,3.5,Yes,,2/19/23
9/10/23,My Cousin Vinny,1992,https://boxd.it/4PgaTN,4,,,2/21/23
9/10/23,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4PgaTX,3,,,2/22/23
9/10/23,Nope,2022,https://boxd.it/4PgaUh,4.5,,,2/24/23
9/10/23,Soul,2020,https://boxd.it/4PgaUr,5,Yes,,2/25/23
9/10/23,Punch-Drunk Love,2002,https://boxd.it/4PgaUB,3,,,2/28/23
9/10/23,Grease,1978,https://boxd.it/4PgaUL,2.5,,,3/1/23
9/10/23,RED,2010,https://boxd.it/4PgaUV,1.5,Yes,,3/2/23
9/10/23,Cars 2,2011,https://boxd.it/4PgaV5,2.5,Yes,,3/5/23
9/10/23,Kingsman: The Secret Service,2014,https://boxd.it/4PgaVf,4.5,Yes,,3/13/23
9/10/23,Kingsman: The Golden Circle,2017,https://boxd.it/4PgaVp,3.5,Yes,,3/14/23
9/10/23,The Emperor's New Groove,2000,https://boxd.it/4PgaVJ,3,,,3/17/23
9/10/23,Onward,2020,https://boxd.it/4PgaW3,4.5,,,3/20/23
9/10/23,Nomadland,2020,https://boxd.it/4PgaWd,4,,,3/22/23
9/10/23,The Avengers,2012,https://boxd.it/4PgaWn,3.5,Yes,,3/24/23
9/10/23,Die Beautiful,2016,https://boxd.it/4PgaXZ,3.5,,,3/26/23
9/10/23,Being John Malkovich,1999,https://boxd.it/4PgaY9,4,,,3/26/23
9/10/23,John Wick,2014,https://boxd.it/4PgaYj,3,Yes,,3/29/23
9/10/23,John Wick: Chapter 2,2017,https://boxd.it/4PgaYt,3.5,Yes,,3/31/23
9/10/23,The Gentlemen,2019,https://boxd.it/4PgaYD,3.5,,,4/1/23
9/10/23,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/4PgaYN,4,,,4/1/23
9/10/23,The Panti Sisters,2019,https://boxd.it/4PgaZ7,2,,,4/2/23
9/10/23,The Unbearable Weight of Massive Talent,2022,https://boxd.it/4PgaZr,4.5,,,4/3/23
9/10/23,Heneral Luna,2015,https://boxd.it/4PgaZB,4.5,Yes,,4/3/23
9/10/23,Goyo: The Boy General,2018,https://boxd.it/4PgaZL,3.5,,,4/5/23
9/10/23,The Fabulous Filipino Brothers,2021,https://boxd.it/4Pgb05,1.5,,,4/8/23
9/10/23,Markova: Comfort Gay,2000,https://boxd.it/4Pgb0f,4.5,,,4/8/23
9/10/23,Pinoy Sunday,2009,https://boxd.it/4Pgb0z,4,,,4/8/23
9/10/23,My 2 Mommies,2018,https://boxd.it/4Pgb0J,1,,,4/10/23
9/10/23,Avatar: The Way of Water,2022,https://boxd.it/4Pgb0T,4,,,4/11/23
9/10/23,You Don't Mess with the Zohan,2008,https://boxd.it/4Pgb13,3,,,4/13/23
9/10/23,Stowaway,2021,https://boxd.it/4Pgb1d,3.5,,,4/17/23
9/10/23,Colossal,2016,https://boxd.it/4Pgb1n,1.5,,,4/20/23
9/10/23,War for the Planet of the Apes,2017,https://boxd.it/4Pgb1x,3.5,,,4/24/23
9/10/23,Dawn of the Planet of the Apes,2014,https://boxd.it/4Pgb1H,4,,,4/24/23
9/10/23,Rise of the Planet of the Apes,2011,https://boxd.it/4Pgb1R,4,,,4/24/23
9/10/23,Inception,2010,https://boxd.it/4Pgb21,4,Yes,,4/25/23
9/10/23,The Nice Guys,2016,https://boxd.it/4Pgb2b,4,,,4/25/23
9/10/23,My Super Ex-Girlfriend,2006,https://boxd.it/4Pgb2l,1.5,Yes,,4/25/23
9/10/23,Hunger,2023,https://boxd.it/4Pgb2v,3.5,,,4/26/23
9/10/23,Django Unchained,2012,https://boxd.it/4Pgb3X,4,Yes,,4/27/23
9/10/23,Train to Busan,2016,https://boxd.it/4Pgb47,3,Yes,,4/30/23
9/10/23,"I, Robot",2004,https://boxd.it/4Pgb4r,3,,,5/8/23
9/10/23,Transformers,2007,https://boxd.it/4Pgb4B,2,Yes,,5/13/23
9/10/23,Turning Red,2022,https://boxd.it/4Pgb4L,2.5,,,5/18/23
9/10/23,The Intern,2015,https://boxd.it/4Pgb4V,3.5,,,5/18/23
9/10/23,Borat Subsequent Moviefilm,2020,https://boxd.it/4Pgb55,4.5,,,5/21/23
9/10/23,Bullet Train,2022,https://boxd.it/4Pgb5f,5,,,5/23/23
9/10/23,John Wick: Chapter 4,2023,https://boxd.it/4Pgb5p,3,,,5/29/23
9/10/23,Renfield,2023,https://boxd.it/4Pgb5z,3.5,,,6/1/23
9/10/23,The Little Mermaid,2023,https://boxd.it/4Pgb5J,3.5,,,6/5/23
9/10/23,Enola Holmes 2,2022,https://boxd.it/4Pgb5T,2.5,,,6/6/23
